MPG;Cylinders;Horsepower;Weight;Acceleration;Year;Origin
18.00;8;130;3504;12.00;70;1
15.00;8;165;3693;11.50;70;1
18.00;8;150;3436;11.00;70;1
16.00;8;150;3433;12.00;70;1
17.00;8;140;3449;10.50;70;1
15.00;8;198;4341;10.00;70;1
14.00;8;220;4354;9.00;70;1
14.00;8;215;4312;8.50;70;1
14.00;8;225;4425;10.00;70;1
15.00;8;190;3850;8.50;70;1
15.00;8;170;3563;10.00;70;1
14.00;8;160;3609;8.00;70;1
15.00;8;150;3761;9.50;70;1
14.00;8;225;3086;10.00;70;1
24.00;4;95;2372;15.00;70;2
22.00;6;95;2833;15.50;70;1
18.00;6;97;2774;15.50;70;1
21.00;6;85;2587;16.00;70;1
27.00;4;88;2130;14.50;70;2
26.00;4;46;1835;20.50;70;3
25.00;4;87;2672;17.50;70;3
24.00;4;90;2430;14.50;70;3
25.00;4;95;2375;17.50;70;3
26.00;4;113;2234;12.50;70;3
21.00;6;90;2648;15.00;70;1
10.00;8;215;4615;14.00;70;1
10.00;8;200;4376;15.00;70;1
11.00;8;210;4382;13.50;70;1
9.00;8;193;4732;18.50;70;1
27.00;4;88;2130;14.50;71;2
28.00;4;90;2264;15.50;71;1
25.00;4;95;2228;14.00;71;2
19.00;6;100;2634;13.00;71;1
16.00;6;105;3439;15.50;71;1
17.00;6;100;3329;15.50;71;1
19.00;6;88;3302;15.50;71;1
18.00;6;100;3288;15.50;71;1
14.00;8;165;4209;12.00;71;1
14.00;8;175;4464;11.50;71;1
14.00;8;153;4154;13.50;71;1
14.00;8;150;4096;13.00;71;1
12.00;8;180;4955;11.50;71;1
13.00;8;170;4746;12.00;71;1
13.00;8;175;5140;12.00;71;1
18.00;6;110;2962;13.50;71;1
22.00;4;72;2408;19.00;71;1
19.00;6;100;3282;15.00;71;1
18.00;6;88;3139;14.50;71;1
23.00;4;86;2220;14.00;71;1
28.00;4;90;2123;14.00;71;3
30.00;4;70;2074;19.50;71;3
30.00;4;76;2065;14.50;71;3
31.00;4;65;1773;19.00;71;2
35.00;4;69;1613;18.00;71;2
27.00;4;60;1834;19.00;71;3
26.00;4;70;1955;20.50;71;1
24.00;4;95;2278;15.50;72;2
25.00;4;80;2126;17.00;72;1
23.00;4;54;2254;23.50;72;3
20.00;4;90;2408;19.50;72;1
21.00;4;86;2226;16.50;72;1
13.00;8;165;4274;12.00;72;1
14.00;8;175;4385;12.00;72;1
15.00;8;150;4135;13.50;72;1
14.00;8;153;4129;13.00;72;1
17.00;8;150;3672;11.50;72;1
11.00;8;208;4633;11.00;72;1
13.00;8;155;4502;13.50;72;1
12.00;8;160;4456;13.50;72;1
13.00;8;190;4422;12.50;72;1
19.00;3;97;2330;13.50;72;2
15.00;8;150;3892;12.50;72;1
13.00;8;130;4098;14.00;72;1
13.00;8;140;4294;16.00;72;1
14.00;8;150;4077;14.00;72;1
18.00;4;112;2933;14.50;72;3
22.00;4;76;2511;18.00;72;3
21.00;4;87;2979;19.50;72;3
26.00;4;69;2189;18.00;72;3
22.00;4;86;2395;16.00;72;1
28.00;4;92;2288;17.00;72;2
23.00;4;97;2506;14.50;72;2
28.00;4;80;2164;15.00;72;1
27.00;4;88;2100;16.50;72;2
13.00;8;175;4100;13.00;73;1
14.00;8;150;3672;11.50;73;1
13.00;8;145;3988;13.00;73;1
14.00;8;137;4042;14.50;73;1
15.00;8;150;3777;12.50;73;1
12.00;8;198;4952;11.50;73;1
13.00;8;150;4464;12.00;73;1
13.00;8;158;4363;13.00;73;1
14.00;8;150;4237;14.50;73;1
13.00;8;215;4735;11.00;73;1
12.00;8;225;4951;11.00;73;1
13.00;8;175;3821;11.00;73;1
18.00;6;105;3121;16.50;73;1
16.00;6;100;3278;18.00;73;1
18.00;6;100;2945;16.00;73;1
18.00;6;88;3021;16.50;73;1
23.00;6;95;2904;16.00;73;1
26.00;4;46;1950;21.00;73;3
